time,height,location,concentration
-5,5,U,-0.00194
-5,14,U,-0.00261
-5,27,U,-0.00135
-5,5,D,0.00037
-5,14,D,0
-5,27,D,-0.00015
0,5,U,-0.00197
0,14,U,-0.00266
0,27,U,-0.00015
0,5,D,-0.00149
0,14,D,-0.00053
0,27,D,-0.00067
1,5,U,0.0144
1,14,U,0.01629
1,27,U,0.01778
1,5,D,0.01746
1,14,D,0.0216
1,27,D,0.01805
6,5,U,0.01037
6,14,U,0.00934
6,27,U,0.01639
6,5,D,0.01428
6,14,D,0.01782
6,27,D,0.0208
11,5,U,0.01155
11,14,U,0.01083
11,27,U,0.01104
11,5,D,0.01045
11,14,D,0.01502
11,27,D,0.01394
16,5,U,0.01045
16,14,U,
16,27,U,0.00925
16,5,D,0.01119
16,14,D,0.01343
16,27,D,0.0106
21,5,U,0.00388
21,14,U,0.00415
21,27,U,0.00739
21,5,D,0.0057
21,14,D,0.01381
21,27,D,0.01082
26,5,U,0.0043
26,14,U,0.00647
26,27,U,0.00685
26,5,D,
26,14,D,0.01092
26,27,D,0.01038
31,5,U,0.00662
31,14,U,0.00112
31,27,U,0.00338
31,5,D,0.00769
31,14,D,
31,27,D,0.00844
36,5,U,0.00573
36,14,U,0.00456
36,27,U,0.00358
36,5,D,0.00756
36,14,D,0.00925
36,27,D,0.0097
41,5,U,0.00478
41,14,U,0.00207
41,27,U,0.00135
41,5,D,0.00682
41,14,D,0.00828
41,27,D,0.01
46,5,U,0.0009
46,14,U,0.00373
46,27,U,0.00526
46,5,D,0.00474
46,14,D,0.00583
46,27,D,0.00777
51,5,U,0.00193
51,14,U,0.00231
51,27,U,0.0028
51,5,D,0.0047
51,14,D,0.00842
51,27,D,0.00821
56,5,U,0.00075
56,14,U,0.00127
56,27,U,-0.00249
56,5,D,0.00504
56,14,D,0.00814
56,27,D,0.00769
61,5,U,0.00197
61,14,U,0.00053
61,27,U,0.0027
61,5,D,0.00417
61,14,D,0.00693
61,27,D,0.00674
66,5,U,0.0017
66,14,U,
66,27,U,0.0018
66,5,D,0.00385
66,14,D,0.00675
66,27,D,0.00673
71,5,U,-0.00096
71,14,U,0.00354
71,27,U,0.00104
71,5,D,0.003
71,14,D,0.00509
71,27,D,0.00527
76,5,U,0.00265
76,14,U,0.00122
76,27,U,-0.00078
76,5,D,0.00277
76,14,D,0.00457
76,27,D,0.00609
81,5,U,0.00177
81,14,U,0.00303
81,27,U,0.00148
81,5,D,0.00288
81,14,D,
81,27,D,0.00432
86,5,U,0.00242
86,14,U,0.003
86,27,U,0.00241
86,5,D,0.00196
86,14,D,0.00225
86,27,D,0.00304
