 ,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm)
1,U,5,144,127.7,127.7,0,0
1,U,14,143,125.73,125.68,-0.05,-0.3496503497
1,U,27,143.5,127.56,127.45,-0.11,-0.7665505226
1,D,5,131,125.47,125.43,-0.04,-0.3053435115
1,D,14,132,124.89,124.93,0.04,0.303030303
1,D,27,126,122.83,122.81,-0.02,-0.1587301587
2,U,5,141,125.95,,,
2,U,14,136,127.84,,,
2,U,27,142,123.54,,,
2,D,5,136,126.88,,,
2,D,14,132,126.62,,,
2,D,27,,128.55,,,
3,U,5,,125.83,,,
3,U,14,,125.58,,,
3,U,27,,125.76,,,
3,D,5,,127.45,,,
3,D,14,,126.1,,,
3,D,27,,124.95,,,
4,U,5,135,126.9,129.09,2.19,16.22222222
4,U,14,136,126.66,129.33,2.67,19.63235294
4,U,27,141,127.26,129.43,2.17,15.39007092
4,D,5,136,126.6,128.49,1.89,13.89705882
4,D,14,136,126.9,129.1,2.2,16.17647059
4,D,27,135,125.13,127.11,1.98,14.66666667
5,U,5,,125.75,,,
5,U,14,,126.29,,,
5,U,27,,126.38,,,
5,D,5,,125.99,,,
5,D,14,,125.03,,,
5,D,27,,126.23,,,
6,U,5,,125.77,,,
6,U,14,,128,,,
6,U,27,,126.71,,,
6,D,5,,125.55,,,
6,D,14,,123.82,,,
6,D,27,,123.9,,,
7,U,5,,126.82,,,
7,U,14,,125.07,,,
7,U,27,,125.68,,,
7,D,5,,124.07,,,
7,D,14,,127.12,,,
7,D,27,,125.9,,,
8,U,5,139,127.33,129.5,2.17,15.61151079
8,U,14,140,127.06,129.18,2.12,15.14285714
8,U,27,140,125.51,127.44,1.93,13.78571429
8,D,5,138,125.36,127.44,2.08,15.07246377
8,D,14,140,125.6,127.65,2.05,14.64285714
8,D,27,138,128.37,130.51,2.14,15.50724638
9,U,5,,123.91,,,
9,U,14,,125.32,,,
9,U,27,,124.25,,,
9,D,5,,127.14,,,
9,D,14,,126.15,,,
9,D,27,,125.28,,,
10,U,5,,127.35,,,
10,U,14,,128.53,,,
10,U,27,,126.18,,,
10,D,5,,,,,
10,D,14,,,,,
10,D,27,,,,,
11,U,5,,,,,
11,U,14,,,,,
11,U,27,,,,,
11,D,5,,,,,
11,D,14,,,,,
11,D,27,,,,,
12,U,5,139,125.87,127.41,1.54,11.07913669
12,U,14,138,124.73,126.38,1.65,11.95652174
12,U,27,140,125.5,127.05,1.55,11.07142857
12,D,5,138,127.26,128.87,1.61,11.66666667
12,D,14,144,125.6,127.07,1.47,10.20833333
12,D,27,140,126.89,128.65,1.76,12.57142857
16,U,5,139,124.3,125.53,1.23,8.848920863
16,U,14,142,126.14,127.56,1.42,10
16,U,27,138,126.23,127.25,1.02,7.391304348
16,D,5,141,128.04,129.44,1.4,9.929078014
16,D,14,142,127.32,129.69,2.37,16.69014085
16,D,27,141,126.3,127.62,1.32,9.361702128
20,U,5,137,127.31,128.52,1.21,8.832116788
20,U,14,144,127.83,129.16,1.33,9.236111111
20,U,27,142,125.86,127.23,1.37,9.647887324
20,D,5,140,127.08,128.22,1.14,8.142857143
20,D,14,139,126.94,128.21,1.27,9.136690647
20,D,27,141,124.31,125.59,1.28,9.078014184
