weigh date,time series 5*(n-1),Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm)
Oct 4,1,U,5,141,124.65,124.53,,
Oct 4,1,U,14,138,124.45,124.73,,
Oct 4,1,U,27,136,123.92,124.18,,
Oct 4,1,D,5,139,125.38,125.4,,
Oct 4,1,D,14,140,124.84,124.74,,
Oct 4,1,D,27,138,126.33,126.65,,
Oct 4,2,U,5,141,126.31,129.41,,
Oct 4,2,U,14,144,124.11,127.87,,
Oct 4,2,U,27,144,125.04,126.51,,
Oct 4,2,D,5,140,123.81,126.97,,
Oct 4,2,D,14,140,125.6,128.73,,
Oct 4,2,D,27,140,126.5,128.57,,
Oct 4,3,U,5,142,128.14,130.27,,
Oct 4,3,U,14,143,128.05,131.06,,
Oct 4,3,U,27,142,126.16,129.14,,
Oct 4,3,D,5,142,126.57,130.06,,
Oct 4,3,D,14,141,126.54,130.2,,
Oct 4,3,D,27,141,126.53,129.89,,
Oct 4,4,U,5,146,125.87,128.98,,
Oct 4,4,U,14,141,127.21,129.85,,
Oct 4,4,U,27,144,127.75,130.46,,
Oct 4,4,D,5,139,127.26,127.88,,
Oct 4,4,D,14,139,128.56,128.96,,
Oct 4,4,D,27,137,128.3,127.86,,
Oct 4,5,U,5,143,125.3,126.87,,
Oct 4,5,U,14,140,122.35,122.26,,
Oct 4,5,U,27,142,125.44,125.44,,
Oct 4,5,D,5,135,123.96,124.17,,
Oct 4,5,D,14,139,125.7,126.9,,
Oct 4,5,D,27,132,125.08,124.81,,
Oct 4,6,U,5,138,125.5,127.65,,
Oct 4,6,U,14,140,125.65,125.78,,
Oct 4,6,U,27,138,125.04,127.44,,
Oct 4,6,D,5,138,125.98,130.64,,
Oct 4,6,D,14,138,123.25,125.37,,
Oct 4,6,D,27,139,128.31,126.71,,
Oct 4,7,U,5,138,126.87,128.66,,
Oct 4,7,U,14,144,126.76,127.24,,
Oct 4,7,U,27,144,127.03,128.01,,
Oct 4,7,D,5,137,126.26,128.35,,
Oct 4,7,D,14,139,127.37,129.03,,
Oct 4,7,D,27,138,129.46,131.34,,
Oct 4,8,U,5,141,125.58,127.71,,
Oct 4,8,U,14,142,126.62,128.3,,
Oct 4,8,U,27,143,128.32,130.54,,
Oct 4,8,D,5,137,126.12,128.14,,
Oct 4,8,D,14,140,125.72,127.69,,
Oct 4,8,D,27,137,124.62,126.34,,
,9,U,5,144,126.23,,,
,9,U,14,142,127.12,,,
,9,U,27,141,128.26,,,
,9,D,5,137,126.3,,,
,9,D,14,138,127.41,,,
,9,D,27,137,127.83,,,
,10,U,5,141,127.76,,,
,10,U,14,143.5,127.46,,,
,10,U,27,142,126.36,,,
,10,D,5,136,128.43,,,
,10,D,14,139,124.6,,,
,10,D,27,137,124.71,,,
Oct 4,11,U,5,136,125.45,126.99,,
Oct 4,11,U,14,140,128.05,129.66,,
Oct 4,11,U,27,142,126.05,127.63,,
Oct 4,11,D,5,134,128.95,130.5,,
Oct 4,11,D,14,134,128.34,129.86,,
Oct 4,11,D,27,137,126.68,128.21,,
,12,U,5,140,126.34,,,
,12,U,14,141,127.56,,,
,12,U,27,144,129.24,,,
,12,D,5,137,126.67,,,
,12,D,14,138,126.69,,,
,12,D,27,139,126.01,,,
Oct 4,13,U,5,137,124.08,125.59,,
Oct 4,13,U,14,134,125.94,127.16,,
Oct 4,13,U,27,141,125,126.54,,
Oct 4,13,D,5,136,126.55,127.87,,
Oct 4,13,D,14,136,126.55,128.21,,
Oct 4,13,D,27,139,123.49,124.96,,
Oct 4,14,U,5,142,126.93,128.21,,
Oct 4,14,U,14,138,125.79,126.55,,
Oct 4,14,U,27,139,125.37,126.76,,
Oct 4,14,D,5,136,124.11,125.39,,
Oct 4,14,D,14,134,125.09,126.42,,
Oct 4,14,D,27,135,124.78,125.98,,
Oct 4,15,U,5,not measured,127.24,128.57,,
Oct 4,15,U,14,142,128.45,129.78,,
Oct 4,15,U,27,142,126.05,127.38,,
Oct 4,15,D,5,137,126.67,127.91,,
Oct 4,15,D,14,139,124.91,125.97,,
Oct 4,15,D,27,148,128.16,128.62,,
,16,U,5,140,127.58,,,
,16,U,14,140,127.3,,,
,16,U,27,141,127.44,,,
,16,D,5,135,128.93,,,
,16,D,14,138,126.67,,,
,16,D,27,137,128.14,,,
,17,U,5,139,124.58,,,
,17,U,14,143,124.38,,,
,17,U,27,143,125.32,,,
,17,D,5,137,125.97,,,
,17,D,14,137,124.94,,,
,17,D,27,137,125.34,,,
,18,U,5,139,127.49,,,
,18,U,14,140,124.82,,,
,18,U,27,142,125.96,,,
,18,D,5,138,128.17,,,
,18,D,14,137,128.29,,,
,18,D,27,139,128.9,,,
,19,U,5,144,126.12,,,
,19,U,14,142,126.59,,,
,19,U,27,143,127.57,,,
,19,D,5,137,128.13,,,
,19,D,14,137,127.63,,,
,19,D,27,140,127.96,,,
,20,U,5,144,128.29,,,
,20,U,14,143,128.43,,,
,20,U,27,144,126.18,,,
,20,D,5,136,126.14,,,
,20,D,14,139,126.37,,,
,20,D,27,137,125.48,,,
,21,U,5,143,124.37,,,
,21,U,14,143,125.49,,,
,21,U,27,138,124.29,,,
,21,D,5,138,128.33,,,
,21,D,14,140,125.78,,,
,21,D,27,138,125.8,,,
