	 LISST B	 LISST C	 LISST Floc	 LISST A
Size bin #	 Lower	Upper	Mid	Lower	Upper	 Mid	Lower	Upper	Mid	Lower	Upper	Mid
 1	 1.25	 1.48	1.36	 2.50	 2.95	 2.72	 7.50	 8.85	 8.15	 5.00	 5.77	 5.37
 2	 1.48	 1.74	 1.60	 2.95	 3.48	 3.20	 8.85	 10.44	 9.61	 5.77	 6.67	 6.20
 3	 1.74	 2.05	 1.89	 3.48	 4.11	 3.78	 10.44	 12.32	 11.35	 6.67	 7.70	 7.17
 4	 2.05	 2.42	 2.23	 4.11	 4.85	 4.46	 12.32	 14.54	 13.39	 7.70	 8.89	 8.27
 5	 2.42	 2.86	 2.63	 4.85	 5.72	 5.27	 14.54	 17.16	 15.80	 8.89	 10.27	 9.55
 6	 2.86	 3.38	 3.11	 5.72	 6.75	 6.21	 17.16	 20.25	 18.64	 10.27	 11.86	 11.03
 7	 3.38	 3.98	 3.67	 6.75	 7.97	 7.33	 20.25	 23.90	 22.00	 11.86	 13.69	 12.74
 8	 3.98	 4.70	 4.33	 7.97	 9.40	 8.65	 23.90	 28.20	 25.96	 13.69	 15.81	 14.71
 9	 4.70	 5.55	 5.11	 9.40	 11.09	 10.21	 28.20	 33.28	 30.64	 15.81	 18.26	 16.99
 10	 5.55	 6.55	 6.03	 11.09	 13.09	 12.05	 33.28	 39.28	 36.16	 18.26	 21.08	 19.62
 11	 6.55	 7.72	 7.11	 13.09	 15.45	 14.22	 39.28	 46.35	 42.67	 21.08	 24.35	 22.66
 12	 7.72	 9.12	 8.39	 15.45	 18.23	 16.78	 46.35	 54.69	 50.35	 24.35	 28.12	 26.16
 13	 9.12	 10.76	 9.90	 18.23	 21.51	 19.81	 54.69	 64.54	 59.42	 28.12	 32.47	 30.21
 14	 10.76	 12.69	 11.69	 21.51	 25.39	 23.37	 64.54	 76.17	 70.11	 32.47	 37.49	 34.89
 15	 12.69	 14.98	 13.79	 25.39	 29.96	 27.58	 76.17	 89.88	 82.74	 37.49	 43.30	 40.29
 16	 14.98	 17.68	 16.27	 29.96	 35.36	 32.55	 89.88	 106.07	 97.64	 43.30	 50.00	 46.53
 17	 17.68	 20.86	 19.20	 35.36	 41.72	 38.41	 106.07	 125.17	 115.22	 50.00	 57.74	 53.73
 18	 20.86	 24.62	 22.66	 41.72	 49.23	 45.32	 125.17	 147.70	 135.97	 57.74	 66.68	 62.05
 19	 24.62	 29.05	 26.74	 49.23	 58.10	 53.48	 147.70	 174.30	 160.45	 66.68	 77.00	 71.65
 20	 29.05	 34.28	 31.56	 58.10	 68.56	 63.11	 174.30	 205.69	 189.34	 77.00	 88.91	 82.74
 21	 34.28	 40.45	 37.24	 68.56	 80.91	 74.48	 205.69	 242.72	 223.44	 88.91	 102.68	 95.55
 22	 40.45	 47.74	 43.95	 80.91	 95.48	 87.89	 242.72	 286.43	 263.67	 102.68	 118.57	 110.34
 23	 47.74	 56.33	 51.86	 95.48	 112.67	 103.72	 286.43	 338.01	 311.15	 118.57	 136.92	 127.41
 24	 56.33	 66.48	 61.20	 112.67	 132.96	 122.39	 338.01	 398.87	 367.18	 136.92	 158.11	 147.14
 25	 66.48	 78.45	 72.22	 132.96	 156.90	 144.43	 398.87	 470.70	 433.30	 158.11	 182.59	 169.91
 26	 78.45	 92.58	 85.22	 156.90	 185.15	 170.44	 470.70	 555.45	 511.32	 182.59	 210.85	 196.21
 27	 92.58	 109.25	 100.57	 185.15	 218.49	 201.13	 555.45	 655.47	 603.40	 210.85	 243.48	 226.58
 28	 109.25	 128.92	 118.67	 218.49	 257.83	 237.35	 655.47	 773.50	 712.05	 243.48	 281.17	 261.65
 29	 128.92	 152.13	 140.04	 257.83	 304.26	 280.09	 773.50	 912.79	 840.26	 281.17	 324.69	 302.15
 30	 152.13	 179.53	 165.26	 304.26	 359.05	 330.52	 912.79	 1077.15	 991.57	 324.69	 374.95	 348.92
 31	 179.53	 211.85	 195.02	 359.05	 423.70	 390.04	 1077.15	 1271.11	 1170.12	 374.95	 432.98	 402.92
 32	 211.85	250.00	 230.14	 423.70	 500.00	 460.27	 1271.11	 1500.00	 1380.82	 432.98	 500.00	 465.29
