Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm),
NA,1,U,5,133,JN,129.66,CY,129.77,JW,0.11,0.827067669,
NA,1,U,14,138,JN,133.31,CY,133.27,JW,-0.04,-0.289855073,
NA,1,U,27,137,JN,131.5,CY,131.35,JW,-0.15,-1.094890511,
NA,1,D,5,139,JN,132.2,CY,132.2,JW,0,0,
NA,1,D,14,143,JN,129.29,CY,129.21,JW,-0.08,-0.559440559,
NA,1,D,27,139,JN,131.5,CY,131.37,JW,-0.13,-0.935251799,
420,2,U,5,142,JN,132.46,CY,140.05,JN,7.59,53.45070423,
420,2,U,14,143,JN,132.53,CY,140.5,JN,7.97,55.73426573,
420,2,U,27,144,JN,132.22,CY,140.04,JN,7.82,54.30555556,
420,2,D,5,142,JN,263.97,CY,270.87,JN,6.9,48.5915493,accidentally included 2 filters
420,2,D,14,141,JN,130.59,CY,135.74,JN,5.15,36.5248227,
420,2,D,27,141,JN,132.24,CY,137.07,JN,4.83,34.25531915,
720,3,U,5,141,JN,132.46,CY,137.52,JN,5.06,35.88652482,
720,3,U,14,143,JN,132.14,CY,137.53,JN,5.39,37.69230769,
720,3,U,27,143,JN,131.39,CY,136.62,JN,5.23,36.57342657,
720,3,D,5,141,JN,128.89,CY,135.04,JN,6.15,43.61702128,
720,3,D,14,144,JN,131.45,CY,137.85,JN,6.4,44.44444444,
720,3,D,27,142,JN,133.8,CY,139.21,JN,5.41,38.09859155,
1020,4,U,5,134,JN,131.97,CY,136.72,JN,4.75,35.44776119,
1020,4,U,14,137,JN,132.71,CY,137.25,JN,4.54,33.13868613,
1020,4,U,27,141,JN,130.64,CY,135.52,JN,4.88,34.60992908,
1020,4,D,5,142,JN,130.15,CY,135.31,JN,5.16,36.33802817,
1020,4,D,14,139,JN,130.03,CY,135.22,JN,5.19,37.3381295,
1020,4,D,27,142,JN,130.69,CY,135.9,JN,5.21,36.69014085,
1320,5,U,5,141,JN,130.15,CY,134.44,JN,4.29,30.42553191,
1320,5,U,14,138,JN,128.62,CY,132.63,JN,4.01,29.05797101,
1320,5,U,27,140,JN,130.68,CY,135.11,JN,4.43,31.64285714,
1320,5,D,5,136,JN,128.95,CY,132.92,JN,3.97,29.19117647,
1320,5,D,14,137,JN,128.41,CY,132.53,JN,4.12,30.0729927,
1320,5,D,27,139,JN,131.58,CY,135.81,JN,4.23,30.43165468,
1620,6,U,5,143,JN,134.42,YS,137.97,JN,3.55,24.82517483,
1620,6,U,14,142,JN,132.04,YS,135.69,JN,3.65,25.70422535,
1620,6,U,27,143,JN,130.21,YS,133.94,JN,3.73,26.08391608,
1620,6,D,5,140,JN,131.1,YS,134.71,JN,3.61,25.78571429,
1620,6,D,14,140,JN,131.47,YS,135.28,JN,3.81,27.21428571,
1620,6,D,27,140,JN,131.98,YS,135.68,JN,3.7,26.42857143,
3120,11,U,14,143,DS,132.8,YS,134.59,JN,1.79,12.51748252,
3120,11,U,27,145,DS,133.02,YS,134.42,JN,1.4,9.655172414,
3120,11,D,5,138,DS,131.38,YS,132.58,JN,1.2,8.695652174,
3120,11,D,14,140,DS,130.71,YS,132.58,JN,1.87,13.35714286,
3120,11,D,27,138,DS,130.18,YS,132.31,JN,2.13,15.43478261,
4320,15,U,5,141,CY,131.22,CY,131.16,YS,-0.06,-0.425531915,
4320,15,U,14,140,CY,131.82,CY,132.57,YS,0.75,5.357142857,
4320,15,U,27,143,CY,131.07,CY,131.97,YS,0.9,6.293706294,
4320,15,D,5,140,CY,131.71,CY,132.5,YS,0.79,5.642857143,
4320,15,D,14,141,CY,130.92,CY,131.68,YS,0.76,5.390070922,
4320,15,D,27,142,CY,130.29,CY,131.12,YS,0.83,5.845070423,
4620,16,U,5,144,CY,135.08,CY,135.86,YS,0.78,5.416666667,
4620,16,U,14,144,CY,131.87,CY,132.73,YS,0.86,5.972222222,
4620,16,U,27,143,CY,129.12,CY,129.98,YS,0.86,6.013986014,
4620,16,D,5,136,CY,130.15,CY,131.1,YS,0.95,6.985294118,
4620,16,D,14,138,CY,130.42,CY,131.37,YS,0.95,6.884057971,
4620,16,D,27,137,CY,129.7,CY,130.54,YS,0.84,6.131386861,
4920,17,U,5,143,CY,131.14,CY,131.8,YS,0.66,4.615384615,
4920,17,U,14,144,CY,130.18,CY,131.15,YS,0.97,6.736111111,
4920,17,U,27,143,CY,131.02,CY,131.91,YS,0.89,6.223776224,
4920,17,D,5,138,CY,129.36,CY,130.12,YS,0.76,5.507246377,
4920,17,D,14,138,CY,128.33,CY,129.17,YS,0.84,6.086956522,
4920,17,D,27,138,CY,130.15,CY,130.92,YS,0.77,5.579710145,
5220,18,U,5,143,CY,131.15,CY,132.23,YS,1.08,7.552447552,
5220,18,U,14,143,CY,131.87,CY,132.55,YS,0.68,4.755244755,
5220,18,U,27,143,CY,130.75,CY,131.7,YS,0.95,6.643356643,
5220,18,D,5,139,CY,130.7,CY,131.68,YS,0.98,7.050359712,
5220,18,D,14,138,CY,131.65,CY,132.24,YS,0.59,4.275362319,
5220,18,D,27,138,CY,130.22,CY,130.98,YS,0.76,5.507246377,
5520,19,U,5,144,CY,128.99,CY,129.67,YS,0.68,4.722222222,
5520,19,U,14,143,CY,129.12,CY,129.94,YS,0.82,5.734265734,
5520,19,U,27,143,CY,129.97,CY,130.67,YS,0.7,4.895104895,
5520,19,D,5,138,CY,132.08,CY,132.82,YS,0.74,5.362318841,
5520,19,D,14,145,CY,130.64,CY,131.51,YS,0.87,6,
5520,19,D,27,139,CY,131.91,CY,132.58,YS,0.67,4.820143885,
5820,20,U,5,143,CY,128.83,CY,129.64,YS,0.81,5.664335664,
5820,20,U,14,144,CY,132.31,CY,132.88,YS,0.57,3.958333333,
5820,20,U,27,143,CY,130.55,CY,131.21,YS,0.66,4.615384615,
5820,20,D,5,136,CY,131.88,CY,132.47,YS,0.59,4.338235294,
5820,20,D,14,138,CY,132.17,CY,132.8,YS,0.63,4.565217391,
5820,20,D,27,139,CY,130.64,CY,131.2,YS,0.56,4.028776978,
