date,dowel_density,ddowel_density,u,du,growth_days
181019,0,0,0.066,0.003,0
181115,1450,50,0.066,0.003,0
181204,1450,50,0.066,0.003,20
190131,1450,50,0.066,0.003,46
190321,0,0,0.066,0.003,0
190417,278,5,0.066,0.003,0
190506,278,5,0.066,0.003,0
190612,800,5,0.066,0.003,0
190701,800,5,0.066,0.003,18
190729,0,0,0.022,0.001,0
190802,0,0,0.044,0.002,0
190808,232,5,0.022,0.001,0
190815,232,5,0.044,0.002,0
190905,278,5,0.022,0.001,0
190918,278,5,0.066,0.003,13
190926,278,5,0.044,0.002,0
191126,278,1,.022,.001,7
