Date,start collection,end collection,flume on,frequency (Hz),sediment,sediment added,sediment mass (g),collector density (1/m^2),discharge (US gal/min),depth (cm),slope (%),LISST position,average flow velocity (cm/s),Vectrino position,LISST background scattering value,LISST setup notes,Notes
10/9/17,11:45,14:45,NA,10,Aquatic Park,NA,NA,0,67,45,0,NA,no vectrino,n/a,,,
10/11/17,10:30,13:30,10:35,30,Aquatic Park,NA,NA,0,215,45,0.04,NA,no vectrino,n/a,,,flow stabilized at 30 Hz at 10:39
10/18/17,12:00,15:00,12:04,30,Aquatic Park; floc,12:04,,0,215,45,0,mid-test,no vectrino,n/a,,,floc added close to bed downstream of test section
10/20/17,11:37,14:37,11:42,10,Aquatic Park; floc,start,,0,67,45,0,NA,no vectrino,n/a,,,water was turbid before experiment
11/1/17,12:05,14:05,not turned on,0,Aquatic Park; floc,start,,0,0,45,0,NA,no vectrino,n/a,,,floc: 155.5 g kaolinite and 31.1 g NaCl
11/15/17,11:45,12:45,11:55,30,none,not added,,0,215,45,0,downstream of test,no vectrino,n/a,,,ambient conditions (no sediment)
11/15/17,13:00,16:00,start,30,floc,13:02,,0,215,45,0,downstream of test,no vectrino,n/a,,,finished adding floc at 13:13
11/20/17,10:35,13:35,10:45,10,floc,start,,0,67,45,0.01,downstream of test,no vectrino,n/a,,,30 Hz run on 11/15/17
2/15/18,14:15,16:15,start,30,floc,14:25,,183,215,40,0,downstream of test,,Multiple; See Note,,,floc: 155.5 g kaolinite and 15.5 kg NaCl.  NaCl mixed in small batches and added to flume to circulate.  Kaolinite added later; 10 minutes after data collection began.
2/16/18,14:30,16:15,14:35,30,floc from 2/15 (settled),from 2/15 experiment,,183,215,38,0,downstream of test,,Multiple; See Note,,,
2/20/18,15:10,16:00,14:40,30,floc from 2/15 (settled),from 2/15 experiment,,183,215,37,0,downstream of test,,Multiple; See Note,,,
2/22/18,12:30,13:30,12:33,30,floc from 2/15 (settled),from 2/15 experiment,,183,215,40,0,downstream of test,,Multiple; See Note,,,
2/23/18,13:50,16:20,13:50,30,floc from 2/15 (settled),from 2/15 experiment,,183,215,40,0,downstream of test,,Multiple; See Note,,,
4/10/18,,,n/a,n/a,silt,,,n/a,n/a,n/a,n/a,centered; vertically oriented in bucket,no vectrino,n/a,,,
4/12/18,,,n/a,n/a,silt,,3.9,n/a,n/a,n/a,n/a,centered; vertically oriented in bucket,no vectrino,n/a,,,Added ~ 3.9 grams to ~3 gal of water.  Circulated with a propellor pump (the ones used in the biofilm growth experiments)
4/19/18,11:22,13:22,11:31,30,silt,in two pulses at ~11:40am and ~11:45am,751.27,183,215,40,0,downstream of test,,1 m upstream of test section; centered; positive x pointing downstream; 20 cm from bed,,,751.27g silt added in two pulses at ~11:40am and ~11:45am.  Peristaltic pump tubes all have flow rate of 50 ml/min (except maybe for 27U)
5/3/18,13:45,,14:00,30,walnut shell flour (325 grade),14:12,80.8,183,215,40,0,downstream of test,,1 m upstream of test section; centered; positive x pointing downstream; 20 cm from bed,,,80.8g walnut -325 mixed with ~3 gallons of water; added in single pulse just downstream of the LISST.  Noted that pump 27U has slower flow rate.  All others have flow rate of 50 ml/min
5/11/18,10:54,,10:58,30,walnut shell flour (100 grade),,98.68,183,215,40,0,downstream of test,,1 m upstream of test section; centered; positive x pointing downstream; 20 cm from bed,,,"98.68 g Walnut shell -100 mixed with 3 gallons of water in a 5 gallon bucket; added in 1 pulse (~30 seconds).  
Mass based on bucket test conducted earlier in the morning; where 0.37g walnut shell added to ~3 gallons of water yielded a transmission value of ~0.6
27U tubing replaced and all tubes checked for proper flow rate of 50mL/min"
