experiment date,time,height,location,concentration
06/11/18,-5,5,U,-0.00194
06/11/18,-5,14,U,-0.00261
06/11/18,-5,27,U,-0.00135
06/11/18,-5,5,D,0.00037
06/11/18,-5,14,D,0
06/11/18,-5,27,D,-0.00015
06/11/18,0,5,U,-0.00197
06/11/18,0,14,U,-0.00266
06/11/18,0,27,U,-0.00015
06/11/18,0,5,D,-0.00149
06/11/18,0,14,D,-0.00053
06/11/18,0,27,D,-0.00067
06/11/18,1,5,U,0.0144
06/11/18,1,14,U,0.01629
06/11/18,1,27,U,0.01778
06/11/18,1,5,D,0.01746
06/11/18,1,14,D,0.0216
06/11/18,1,27,D,0.01805
06/11/18,6,5,U,0.01037
06/11/18,6,14,U,0.00934
06/11/18,6,27,U,0.01639
06/11/18,6,5,D,0.01428
06/11/18,6,14,D,0.01782
06/11/18,6,27,D,0.0208
06/11/18,11,5,U,0.01155
06/11/18,11,14,U,0.01083
06/11/18,11,27,U,0.01104
06/11/18,11,5,D,0.01045
06/11/18,11,14,D,0.01502
06/11/18,11,27,D,0.01394
06/11/18,16,5,U,0.01045
06/11/18,16,14,U,
06/11/18,16,27,U,0.00925
06/11/18,16,5,D,0.01119
06/11/18,16,14,D,0.01343
06/11/18,16,27,D,0.0106
06/11/18,21,5,U,0.00388
06/11/18,21,14,U,0.00415
06/11/18,21,27,U,0.00739
06/11/18,21,5,D,0.0057
06/11/18,21,14,D,0.01381
06/11/18,21,27,D,0.01082
06/11/18,26,5,U,0.0043
06/11/18,26,14,U,0.00647
06/11/18,26,27,U,0.00685
06/11/18,26,5,D,
06/11/18,26,14,D,0.01092
06/11/18,26,27,D,0.01038
06/11/18,31,5,U,0.00662
06/11/18,31,14,U,0.00112
06/11/18,31,27,U,0.00338
06/11/18,31,5,D,0.00769
06/11/18,31,14,D,
06/11/18,31,27,D,0.00844
06/11/18,36,5,U,0.00573
06/11/18,36,14,U,0.00456
06/11/18,36,27,U,0.00358
06/11/18,36,5,D,0.00756
06/11/18,36,14,D,0.00925
06/11/18,36,27,D,0.0097
06/11/18,41,5,U,0.00478
06/11/18,41,14,U,0.00207
06/11/18,41,27,U,0.00135
06/11/18,41,5,D,0.00682
06/11/18,41,14,D,0.00828
06/11/18,41,27,D,0.01
06/11/18,46,5,U,0.0009
06/11/18,46,14,U,0.00373
06/11/18,46,27,U,0.00526
06/11/18,46,5,D,0.00474
06/11/18,46,14,D,0.00583
06/11/18,46,27,D,0.00777
06/11/18,51,5,U,0.00193
06/11/18,51,14,U,0.00231
06/11/18,51,27,U,0.0028
06/11/18,51,5,D,0.0047
06/11/18,51,14,D,0.00842
06/11/18,51,27,D,0.00821
06/11/18,56,5,U,0.00075
06/11/18,56,14,U,0.00127
06/11/18,56,27,U,-0.00249
06/11/18,56,5,D,0.00504
06/11/18,56,14,D,0.00814
06/11/18,56,27,D,0.00769
06/11/18,61,5,U,0.00197
06/11/18,61,14,U,0.00053
06/11/18,61,27,U,0.0027
06/11/18,61,5,D,0.00417
06/11/18,61,14,D,0.00693
06/11/18,61,27,D,0.00674
06/11/18,66,5,U,0.0017
06/11/18,66,14,U,
06/11/18,66,27,U,0.0018
06/11/18,66,5,D,0.00385
06/11/18,66,14,D,0.00675
06/11/18,66,27,D,0.00673
06/11/18,71,5,U,-0.00096
06/11/18,71,14,U,0.00354
06/11/18,71,27,U,0.00104
06/11/18,71,5,D,0.003
06/11/18,71,14,D,0.00509
06/11/18,71,27,D,0.00527
06/11/18,76,5,U,0.00265
06/11/18,76,14,U,0.00122
06/11/18,76,27,U,-0.00078
06/11/18,76,5,D,0.00277
06/11/18,76,14,D,0.00457
06/11/18,76,27,D,0.00609
06/11/18,81,5,U,0.00177
06/11/18,81,14,U,0.00303
06/11/18,81,27,U,0.00148
06/11/18,81,5,D,0.00288
06/11/18,81,14,D,
06/11/18,81,27,D,0.00432
06/11/18,86,5,U,0.00242
06/11/18,86,14,U,0.003
06/11/18,86,27,U,0.00241
06/11/18,86,5,D,0.00196
06/11/18,86,14,D,0.00225
06/11/18,86,27,D,0.00304
06/04/18,-5,5,U,0.00121
06/04/18,-5,14,U,-0.00177
06/04/18,-5,27,U,-0.00268
06/04/18,-5,5,D,-0.00084
06/04/18,-5,14,D,-0.00107
06/04/18,-5,27,D,-0.00208
06/04/18,0,5,U,0.00276
06/04/18,0,14,U,0.00129
06/04/18,0,27,U,-0.0003
06/04/18,0,5,D,0.00059
06/04/18,0,14,D,-0.00288
06/04/18,0,27,D,-0.0016
06/04/18,9,5,U,0.03198
06/04/18,9,14,U,0.02885
06/04/18,9,27,U,0.02912
06/04/18,9,5,D,0.03381
06/04/18,9,14,D,0.03121
06/04/18,9,27,D,0.0258
06/04/18,14,5,U,0.02364
06/04/18,14,14,U,0.01953
06/04/18,14,27,U,0.02477
06/04/18,14,5,D,0.0305
06/04/18,14,14,D,0.02255
06/04/18,14,27,D,0.01823
06/04/18,19,5,U,0.02359
06/04/18,19,14,U,0.02122
06/04/18,19,27,U,0.02368
06/04/18,19,5,D,0.01879
06/04/18,19,14,D,0.0218
06/04/18,19,27,D,0.02232
06/04/18,24,5,U,0.02
06/04/18,24,14,U,0.01852
06/04/18,24,27,U,0.01951
06/04/18,24,5,D,0.01985
06/04/18,24,14,D,0.01812
06/04/18,24,27,D,0.01947
06/04/18,29,5,U,0.01746
06/04/18,29,14,U,0.01947
06/04/18,29,27,U,0.02023
06/04/18,29,5,D,0.01606
06/04/18,29,14,D,0.01948
06/04/18,29,27,D,0.01948
06/04/18,34,5,U,0.01786
06/04/18,34,14,U,0.01411
06/04/18,34,27,U,0.01478
06/04/18,34,5,D,0.01383
06/04/18,34,14,D,0
06/04/18,34,27,D,0.00837
06/04/18,39,5,U,0.01654
06/04/18,39,14,U,0.01502
06/04/18,39,27,U,0.0129
06/04/18,39,5,D,0.01459
06/04/18,39,14,D,0.01866
06/04/18,39,27,D,0.01729
06/04/18,44,5,U,0.01349
06/04/18,44,14,U,0.01496
06/04/18,44,27,U,0.01466
06/04/18,44,5,D,0.01552
06/04/18,44,14,D,0.015
06/04/18,44,27,D,0.01619
06/04/18,49,5,U,0.01438
06/04/18,49,14,U,0.01473
06/04/18,49,27,U,0.01101
06/04/18,49,5,D,0.01328
06/04/18,49,14,D,0.0145
06/04/18,49,27,D,0.01504
06/04/18,54,5,U,0.0122
06/04/18,54,14,U,0.01634
06/04/18,54,27,U,0.01412
06/04/18,54,5,D,0.01185
06/04/18,54,14,D,0.01584
06/04/18,54,27,D,0.01232
06/04/18,59,5,U,0.01163
06/04/18,59,14,U,0.01379
06/04/18,59,27,U,0.01244
06/04/18,59,5,D,0.01439
06/04/18,59,14,D,0.01508
06/04/18,59,27,D,0.01485
06/04/18,64,5,U,0.01258
06/04/18,64,14,U,0.01535
06/04/18,64,27,U,0.0142
06/04/18,64,5,D,0.01116
06/04/18,64,14,D,-0.02233
06/04/18,64,27,D,0.00799
06/04/18,69,5,U,0.01135
06/04/18,69,14,U,0.01165
06/04/18,69,27,U,0.01184
06/04/18,69,5,D,0.01252
06/04/18,69,14,D,0.01165
06/04/18,69,27,D,0
06/04/18,74,5,U,0.01161
06/04/18,74,14,U,0.01242
06/04/18,74,27,U,0.01077
06/04/18,74,5,D,0.01225
06/04/18,74,14,D,0.01118
06/04/18,74,27,D,0.00994
06/04/18,79,5,U,0.011
06/04/18,79,14,U,0.0116
06/04/18,79,27,U,0.00772
06/04/18,79,5,D,0.00971
06/04/18,79,14,D,0.00988
06/04/18,79,27,D,0.02308
06/04/18,84,5,U,0.00996
06/04/18,84,14,U,0.01008
06/04/18,84,27,U,0.00959
06/04/18,84,5,D,0.01007
06/04/18,84,14,D,0.01276
06/04/18,84,27,D,0.01176
06/04/18,89,5,U,0.01188
06/04/18,89,14,U,0.00977
06/04/18,89,27,U,0.00933
06/04/18,89,5,D,0.01109
06/04/18,89,14,D,0.00931
06/04/18,89,27,D,0.0099
06/04/18,94,5,U,0
06/04/18,94,14,U,0.01
06/04/18,94,27,U,0.00924
06/04/18,94,5,D,0.00972
06/04/18,94,14,D,0.0094
06/04/18,94,27,D,0.01016
05/24/18,-5,5,U,0.00255
05/24/18,-5,14,U,0.0015
05/24/18,-5,27,U,0.00063
05/24/18,-5,5,D,-0.03589
05/24/18,-5,14,D,0.00839
05/24/18,-5,27,D,0.04582
05/24/18,0,5,U,0.00035
05/24/18,0,14,U,0.07667
05/24/18,0,27,U,-0.00021
05/24/18,0,5,D,0.0574
05/24/18,0,14,D,0.0673
05/24/18,0,27,D,0.04596
05/24/18,1,5,U,0.01128
05/24/18,1,14,U,0.01536
05/24/18,1,27,U,0.01113
05/24/18,1,5,D,0.00167
05/24/18,1,14,D,0.04295
05/24/18,1,27,D,0.01433
05/24/18,6,5,U,0.01236
05/24/18,6,14,U,0.01331
05/24/18,6,27,U,0.01911
05/24/18,6,5,D,0.04312
05/24/18,6,14,D,0.0044
05/24/18,6,27,D,0.02648
05/24/18,11,5,U,-0.00078
05/24/18,11,14,U,0.0093
05/24/18,11,27,U,0.01805
05/24/18,11,5,D,0.08146
05/24/18,11,14,D,0.01713
05/24/18,11,27,D,0.03238
05/24/18,16,5,U,0.0034
05/24/18,16,14,U,0.00609
05/24/18,16,27,U,0.008
05/24/18,16,5,D,0.0783
05/24/18,16,14,D,0.04789
05/24/18,16,27,D,0.06135
05/24/18,21,5,U,0.00035
05/24/18,21,14,U,0.00495
05/24/18,21,27,U,0.00441
05/24/18,21,5,D,-0.00149
05/24/18,21,14,D,-0.01597
05/24/18,21,27,D,0.00262
05/24/18,26,5,U,0.00671
05/24/18,26,14,U,0.00099
05/24/18,26,27,U,0.00063
05/24/18,26,5,D,0.04225
05/24/18,26,14,D,0.05965
05/24/18,26,27,D,0.00106
05/24/18,31,5,U,0.00156
05/24/18,31,14,U,0.00063
05/24/18,31,27,U,0.00284
05/24/18,31,5,D,0.0957
05/24/18,31,14,D,0.00259
05/24/18,31,27,D,0.09786
05/24/18,36,5,U,0.00319
05/24/18,36,14,U,0.00121
05/24/18,36,27,U,0.00191
05/24/18,36,5,D,0.02014
05/24/18,36,14,D,0.01371
05/24/18,36,27,D,0.00271
05/24/18,41,5,U,0.00071
05/24/18,41,14,U,0.00317
05/24/18,41,27,U,0.00299
05/24/18,41,5,D,0.0027
05/24/18,41,14,D,0.00831
05/24/18,41,27,D,0.00085
05/24/18,46,5,U,0.00092
05/24/18,46,14,U,0.00147
05/24/18,46,27,U,0.00126
05/24/18,46,5,D,0.00112
05/24/18,46,14,D,0.00097
05/24/18,46,27,D,0.00226
05/24/18,51,5,U,0.00219
05/24/18,51,14,U,0.00383
05/24/18,51,27,U,0.00182
05/24/18,51,5,D,0.00121
05/24/18,51,14,D,0.00373
05/24/18,51,27,D,0.00504
05/24/18,56,5,U,0.00299
05/24/18,56,14,U,0.00035
05/24/18,56,27,U,-0.00085
05/24/18,56,5,D,0.00685
05/24/18,56,14,D,0.00189
05/24/18,56,27,D,0.0005
05/24/18,61,5,U,0.00127
05/24/18,61,14,U,0.00042
05/24/18,61,27,U,0.00282
05/24/18,61,5,D,0.00134
05/24/18,61,14,D,0.00129
05/24/18,61,27,D,0.00154
05/24/18,66,5,U,0.00092
05/24/18,66,14,U,0.00133
05/24/18,66,27,U,0.87983
05/24/18,66,5,D,0.02133
05/24/18,66,14,D,0.01787
05/24/18,66,27,D,0.08832
05/24/18,71,5,U,0.00287
05/24/18,71,14,U,0.00191
05/24/18,71,27,U,0.00212
05/24/18,71,5,D,0.06221
05/24/18,71,14,D,0.02587
05/24/18,71,27,D,-0.02874
05/24/18,76,5,U,0.00474
05/24/18,76,14,U,0.00154
05/24/18,76,27,U,0.00127
05/24/18,76,5,D,0.00141
05/24/18,76,14,D,-0.02626
05/24/18,76,27,D,0.09104
05/24/18,81,5,U,-0.88783
05/24/18,81,14,U,0.00255
05/24/18,81,27,U,0.00432
05/24/18,81,5,D,0.11314
05/24/18,81,14,D,0.0019
05/24/18,81,27,D,-0.00587
05/24/18,86,5,U,0.00622
05/24/18,86,14,U,0.00267
05/24/18,86,27,U,0.00311
05/24/18,86,5,D,0.08361
05/24/18,86,14,D,-0.01493
05/24/18,86,27,D,0.08545
