Po..Continuous.,k,Experiment,Replicate,Control,Flow Rate,Biofilm,Po..catagorical.,Stem.Density,Control,R.square.,ParticleType,Bin.Number,Particle.size
0.11096,8.10E-06,6,1,1,6.1,0,Low,7209,1,0.01296618,3,1,1.36
0.14838,4.85E-06,6,1,1,6.1,0,Low,7209,1,0.00864377,3,2,1.6
0.22211,2.20E-05,6,1,1,6.1,0,Low,7209,1,0.224982731,3,3,1.89
0.37386,3.71E-05,6,1,1,6.1,0,Low,7209,1,0.472898063,3,4,2.23
0.57932,4.56E-05,6,1,1,6.1,0,Low,7209,1,0.573165103,3,5,2.63
0.766,3.69E-05,6,1,1,6.1,0,Low,7209,1,0.695100509,3,6,3.11
0.82303,1.76E-05,6,1,1,6.1,0,Low,7209,1,0.637348176,3,7,3.67
0.8501,1.15E-06,6,1,1,6.1,0,Low,7209,1,0.007983875,3,8,4.35
0.8482,1.81E-06,6,1,1,6.1,0,Low,7209,1,0.011080448,3,9,5.11
0.90707,2.77E-05,6,1,1,6.1,0,Low,7209,1,0.673531531,3,10,6.03
1.1369,8.83E-05,6,1,1,6.1,0,Low,7209,1,0.920295824,3,11,7.11
1.457,0.00016381,6,1,1,6.1,0,Low,7209,1,0.948314808,3,12,8.39
1.7742,0.0002345,6,1,1,6.1,0,Low,7209,1,0.95922938,3,13,9.9
1.7033,0.00028705,6,1,1,6.1,0,Low,7209,1,0.957446214,3,14,11.7
1.2354,0.00029989,6,1,1,6.1,0,Low,7209,1,0.947870789,3,15,13.8
0.85018,0.00028155,6,1,1,6.1,0,Low,7209,1,0.94031171,3,16,16.3
0.77204,0.00031408,6,1,1,6.1,0,Low,7209,1,0.930190042,3,17,19.2
0.78454,0.00040074,6,1,1,6.1,0,Low,7209,1,0.91614585,3,18,22.7
0.67689,0.00044406,6,1,1,6.1,0,Low,7209,1,0.899169943,3,19,26.7
0.68475,0.0005059,6,1,1,6.1,0,Low,7209,1,0.884572841,3,20,31.6
0.62314,0.00055559,6,1,1,6.1,0,Low,7209,1,0.868954551,3,21,37.2
0.60746,0.00060562,6,1,1,6.1,0,Low,7209,1,0.85343154,3,22,43.9
0.55735,0.00061927,6,1,1,6.1,0,Low,7209,1,0.830354138,3,23,51.9
0.55884,0.00066319,6,1,1,6.1,0,Low,7209,1,0.807862145,3,24,61.2
0.5898,0.00071678,6,1,1,6.1,0,Low,7209,1,0.783463982,3,25,72.2
0.635,0.0008436,6,1,1,6.1,0,Low,7209,1,0.76342436,3,26,85.2
0.65987,0.0010499,6,1,1,6.1,0,Low,7209,1,0.744041265,3,27,101
0.66276,0.0012897,6,1,1,6.1,0,Low,7209,1,0.709244043,3,28,119
0.56134,0.0014497,6,1,1,6.1,0,Low,7209,1,0.634675247,3,29,140
0.4094,0.0015473,6,1,1,6.1,0,Low,7209,1,0.520742083,3,30,165
0.31946,0.0016415,6,1,1,6.1,0,Low,7209,1,0.38802376,3,31,195
0.28635,0.0017263,6,1,1,6.1,0,Low,7209,1,0.305746519,3,32,230
0.11686,2.27E-05,6,2,1,6.1,0,Low,7209,1,0.091832648,3,1,1.36
0.14951,2.16E-05,6,2,1,6.1,0,Low,7209,1,0.156650881,3,2,1.6
0.21147,2.15E-05,6,2,1,6.1,0,Low,7209,1,0.273606297,3,3,1.89
0.33882,2.59E-05,6,2,1,6.1,0,Low,7209,1,0.374511839,3,4,2.23
0.51054,3.10E-05,6,2,1,6.1,0,Low,7209,1,0.425928145,3,5,2.63
0.69042,3.68E-05,6,2,1,6.1,0,Low,7209,1,0.661734997,3,6,3.11
0.78033,3.70E-05,6,2,1,6.1,0,Low,7209,1,0.775774495,3,7,3.67
0.83774,3.13E-05,6,2,1,6.1,0,Low,7209,1,0.839690699,3,8,4.35
0.82984,2.97E-05,6,2,1,6.1,0,Low,7209,1,0.897928746,3,9,5.11
0.82429,4.21E-05,6,2,1,6.1,0,Low,7209,1,0.892098028,3,10,6.03
0.8782,7.75E-05,6,2,1,6.1,0,Low,7209,1,0.927744508,3,11,7.11
0.93586,0.00012964,6,2,1,6.1,0,Low,7209,1,0.949082713,3,12,8.39
0.98634,0.00017943,6,2,1,6.1,0,Low,7209,1,0.957220885,3,13,9.9
0.89038,0.00020245,6,2,1,6.1,0,Low,7209,1,0.964516887,3,14,11.7
0.69105,0.00020052,6,2,1,6.1,0,Low,7209,1,0.962686033,3,15,13.8
0.55282,0.00021463,6,2,1,6.1,0,Low,7209,1,0.952230231,3,16,16.3
0.51024,0.00025812,6,2,1,6.1,0,Low,7209,1,0.950371887,3,17,19.2
0.47412,0.00029705,6,2,1,6.1,0,Low,7209,1,0.938999493,3,18,22.7
0.41487,0.00031897,6,2,1,6.1,0,Low,7209,1,0.923533662,3,19,26.7
0.40795,0.00035668,6,2,1,6.1,0,Low,7209,1,0.909510674,3,20,31.6
0.36193,0.00036293,6,2,1,6.1,0,Low,7209,1,0.883887083,3,21,37.2
0.33797,0.00037603,6,2,1,6.1,0,Low,7209,1,0.852523887,3,22,43.9
0.30896,0.0003707,6,2,1,6.1,0,Low,7209,1,0.801927435,3,23,51.9
0.2905,0.00036275,6,2,1,6.1,0,Low,7209,1,0.726565568,3,24,61.2
0.27977,0.00034349,6,2,1,6.1,0,Low,7209,1,0.618056099,3,25,72.2
0.24863,0.0003274,6,2,1,6.1,0,Low,7209,1,0.488466383,3,26,85.2
0.18946,0.00031798,6,2,1,6.1,0,Low,7209,1,0.366140881,3,27,101
0.12263,0.00033076,6,2,1,6.1,0,Low,7209,1,0.309417651,3,28,119
0.067689,0.00040791,6,2,1,6.1,0,Low,7209,1,0.342370411,3,29,140
0.032163,0.00053841,6,2,1,6.1,0,Low,7209,1,0.378997792,3,30,165
0.016168,0.00071233,6,2,1,6.1,0,Low,7209,1,0.428885225,3,31,195
0.012547,0.00082218,6,2,1,6.1,0,Low,7209,1,0.457886291,3,32,230
0.1236,1.35E-05,6,3,1,6.1,0,Low,7209,1,0.037267,3,1,1.36
0.15366,1.76E-05,6,3,1,6.1,0,Low,7209,1,0.11931,3,2,1.6
