Date,CSV Name,Density,Velocity,Biofouled,Re_c,Frontal Area,k_t,m_s,k_s,k_c,ECE %
10192018,101918pumpdata.csv,0,30,0,199.034,0.0,0.00016539355289925167,28.2265421175044,3.7092725475562515e-05,0.0005042566750371333,inf
11152018,111518pumpdata.csv,1450,30,0,199.034,4.604,0.00023188701408448289,15.69270797850212,2.4219080891305494e-05,0.0009163551088402453,0.33391271114183374
12042018,120418pumpdata.csv,1450,30,1,199.034,4.604,0.00029584661580593635,17.194536018134386,3.062469111711352e-05,0.001215193141606097,0.4428069779500674
1312019,013119pumpdata.csv,1450,30,1,199.034,4.604,0.00043464457433688516,15.279969843330923,3.584851151331641e-05,0.0019087511665365085,0.6955341556615452
3212019,032119pumpdata.csv,0,30,0,199.034,0.0,0.00020256360497820255,28.2265421175044,4.064290685387278e-05,0.0006788213882904596,inf
5062019,050619pumpdata.csv,278,30,0,199.034,0.883,0.00024663153529429297,22.836252625695934,3.6462745000105326e-05,0.0009293403284031833,1.7663108481212844
6122019,061219pumpdata.csv,800,30,0,199.034,2.54,0.00024559802464324987,21.63812545164808,3.4468117512406445e-05,0.0009343307427473574,0.6170889936472619
7012019,070119pumpdata.csv,800,30,1,199.034,2.54,0.00027408725678482816,16.147778230101135,2.742548755006943e-05,0.0011188231036715333,0.738938998286456
7292019,072919pumpdata.csv,0,10,0,68.148,0.0,0.0002120414907804829,37.47290257846476,5.519462683547684e-05,0.0006575503142309872,inf
8022019,080219pumpdata.csv,0,20,0,133.591,0.0,0.00022869864339239153,18.718492209535732,2.867504340684022e-05,0.0008385604768625037,inf
9052019,090519pumpdata.csv,278,10,0,68.148,0.883,0.00028853310972110183,29.280996653979066,5.133217831794714e-05,0.0010747733568021436,5.966029021621335
9182019,091819pumpdata.csv,278,30,1,199.034,0.883,0.0003155441566361243,24.465397712463364,4.544222874223531e-05,0.001240531619786248,2.3577632332289227
9262019,092619pumpdata.csv,278,20,0,133.591,0.883,0.00022229850494070522,25.03239151431471,3.7776549878328254e-05,0.0007580711666844832,2.1466087811148764
10292019,102919pumpdata.csv,800,10,0,68.148,2.54,0.00022364605049322037,23.929190904377705,3.6226250680417507e-05,0.0008162944043137784,1.5745994597248119
1282020,012820pumpdata.csv,278,30,1,199.034,0.883,0.00028793826966527465,16.437689088061322,2.8779456036187457e-05,0.0011837116034113155,2.249770705361423
2112020,021120pumpdata.csv,800,20,0,133.591,2.54,0.0002397320000371405,22.6771864912399,3.563990917076483e-05,0.0008596853333590917,0.8459354977782049
3032020,030320pumpdata.csv,1450,10,0,68.148,4.604,0.00023822924840930418,18.77236944862568,2.9400939935521742e-05,0.0009274539685150184,0.98704653278975
3132020,031320pumpdata.csv,1450,20,0,133.591,4.604,0.00023297917428758517,16.294016450488133,2.5211017723525873e-05,0.0008787725975586029,0.4770855060107377
