Filename,Control_or_Dowel,Hz,Height,tau_TKE_1,tau_TKE_2,tau_TKE_3,tau_TKE_w_1,tau_TKE_w_2,tau_TKE_w_3,tau_Reynolds_1,tau_Reynolds_2,tau_Reynolds_3,tau_laminar_1,tau_laminar_2,total_TKE_1,total_TKE_2,total_TKE_w_1,total_TKE_w_2,total_Reynolds_1,total_Reynolds_2
control10Hz1.mat,C,10,4.1399998664856,1.5566934725032e-05,2.12836085531076e-05,1.19857127014469e-05,4.46203382182819e-06,5.68395903564056e-06,4.08867397733714e-06,-1.57206331452553e-06,2.23695376680433e-07,8.80986960360985e-06,2.67166563723633e-05,-3.53758475681848e-05,4.51419280114331e-05,-1.87411869409075e-05,3.17896528010977e-05,-3.04895310616959e-05,2.60424724034408e-05,-3.08590650780396e-05
control10Hz2.mat,C,10,6.69000005722046,0.000339070836252033,0.000395601211743788,0.000368216876557188,0.000106913319785296,0.000129385044150609,0.000131497916053647,-4.83408449492018e-06,7.07799748767002e-06,-2.75929845550138e-06,-0.000276789752611475,-0.000306808896660586,9.05462713864359e-05,7.51001474899022e-05,-0.000158640570643522,-0.000176367416558458,-0.0002756677961151,-0.000304649547144502
control10Hz3.mat,C,10,14.710000038147,0.000491964485916365,0.000460712805053642,0.000456663048400934,0.000165701879933255,0.000161148612435014,0.000163926852386709,-1.70276084698884e-05,-2.79878830138358e-05,-2.32175665875189e-05,9.38641369838187e-07,-6.27277347365139e-05,0.000477277286854842,0.000395960191990774,0.000164363887553973,9.98099976743473e-05,-2.15691043720239e-05,-8.83304595371913e-05
control10Hz4.mat,C,10,24.6200008392334,0.000405160895152505,0.000459446741577363,0.000471805187766954,0.000132880413271153,0.000174770142399794,0.000184149578075932,-1.93005875703811e-06,-1.36337684750742e-05,-1.0901557003784e-05,-8.15325689388556e-06,-6.49425452242022e-05,0.000424150561471049,0.000400683419447956,0.000145672020941588,0.000114517315013661,-1.59351705099417e-05,-7.72102079636314e-05
control10Hz5.mat error: too many points removed,C,10,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control20Hz1.mat,C,20,4.09999990463257,0.00333715827496222,0.000405616660506212,0.00047812943410058,0.000370836541285868,5.41949033873834e-05,9.54485257423698e-05,-0.000408010369170597,2.56778836771332e-05,0.000210351272968978,-0.00497012157810104,-7.86666340957749e-05,-0.00309873411036682,0.000363206413207621,-0.00475760585576441,-3.84491953089831e-06,-0.00516128782084777,3.93479442272808e-05
control20Hz2.mat,C,20,6.44999980926514,0.00327233224769543,0.00342000129908115,0.00350313733487411,0.00200118103934983,0.0019467962166118,0.00180659380923203,0.00381120233987531,0.00389669815285743,0.00374300762632629,-0.000342142935202243,-0.00044909775536724,0.00300402383818605,0.00301247156161039,0.00163184569277857,0.00142759725755467,0.00351180731116412,0.00337075513422462
control20Hz3.mat,C,20,14.8400001525879,0.000574032297854537,0.000554086544402388,0.000565753726663836,0.00024629695579037,0.000247930014828768,0.000256673828284448,-7.55315644553889e-05,-3.89505112536881e-05,-4.55289549385895e-05,-6.22555937209309e-05,-0.000145420820708613,0.000501803827407531,0.000414499314824498,0.000184857891588638,0.000106881100847995,-0.000119496631575469,-0.000187660553804752
control20Hz4.mat,C,20,24.8899993896484,0.000605675022821934,0.000618907422954962,0.000600206938917012,0.000317013172250569,0.000320739290704353,0.000316741127508635,-3.88051275841406e-05,-3.81828061364331e-05,-4.32017925717787e-05,-4.43889991009956e-05,-0.000152849275651137,0.000567902223787453,0.00045670790528485,0.000274487232376465,0.000165890933455357,-8.28829659612824e-05,-0.000193541575005242
control20Hz5.mat,C,20,35.8800010681152,0.000832695079902024,0.00081974678609555,0.000857041488963262,0.000484384101251578,0.000428920216796769,0.000455528410026318,0.000103327795699215,0.000127324754416236,6.89835576537234e-05,-6.1500511753542e-05,-0.000186200004021012,0.000764720421245245,0.000652194133508393,0.000395151647270631,0.000256024309390531,5.38257633041835e-05,-8.80458479860328e-05
control30Hz1.mat,C,30,3.9300000667572,0.00883416547554361,0.00903769980108479,0.011779169224543,0.00262465064010939,0.00113733913387364,0.00129967021869106,-0.00494380049758547,-0.0024243417208254,-0.00216665508355618,-0.000182813946940038,-0.00206580743889108,0.00875311869137416,0.00834262707392281,0.00169818094005148,-0.000847302762608734,-0.00386688505614547,-0.00436130584108187
