date,I.c,Re.c,growth_days,effective.collector.efficiency,CI_error_95
190729,0,76.38888888888889,0,Inf,NaN
190808,232,76.38888888888889,0,0.0012906527746247285,0.011631387269054263
190905,278,76.38888888888889,0,0.004510411621221257,0.009822181840441192
190926,278,152.77777777777777,0,4.3386812256808547e-4,0.003982405324305034
190321,0,229.16666666666666,0,Inf,NaN
190417,278,229.16666666666666,0,0.0015491382830412081,0.0022012376855677454
190506,278,229.16666666666666,0,8.196416522790052e-4,0.002175302933225526
190918,278,229.16666666666666,13,0.0020998923951604286,0.0021712944562038055
190612,800,229.16666666666666,0,2.793742227788947e-4,7.539849239831271e-4
190701,800,229.16666666666666,18,4.7516972666965593e-4,7.542262170904031e-4
181115,1450,229.16666666666666,0,1.297703078255573e-4,4.1372443309949683e-4
181204,1450,229.16666666666666,20,5.139024354125708e-4,4.5596238400632974e-4
190131,1450,229.16666666666666,46,8.022912872795274e-4,4.274686089000188e-4
